;Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
197803;0,015353652;0,016575495;0,017970486;0,020096588;0,033250365;0,032102263;0,024732557;0,038072259;0,034441477;0,043449067;-0,031441358;0,057857115;0,049664929;0,021515029;-0,016876128;0,043104905;0,022720246
197804;0,059740314;0,094257472;0,067906234;0,089517024;0,152885312;0,112462074;0,092502687;0,100076431;0,090425677;0,075416162;0,134392958;0,075883333;0,103066659;-0,004766891;0,122619255;0,106199956;0,058874757
197805;0,020100063;-0,046819377;0,002981506;0,007942918;0,044680932;-0,011659755;0,040573515;0,00742878;0,008759173;0,035174626;0,010082146;-0,028839846;0,056330475;0,004025508;-0,034491734;0,002834559;-0,000429096
197806;0,000194869;-0,065065887;-0,049624464;-0,026818415;-0,033059439;-0,040160117;0,000327437;-0,020285285;-0,08253594;-0,008483909;-0,00763326;-0,036120017;0,009682478;0,001148726;-0,034199248;-0,026990622;-0,017940473
197807;0,017064279;0,084736553;0,024811597;0,022037737;0,096744362;0,051010789;0,07012742;0,087322922;0,087967586;0,069027704;0,078961934;0,033467046;0,10770807;0,021811191;0,046883339;0,048729744;0,039697012
197808;0,017430118;0,047662538;0,053663945;0,029754293;0,016874957;0,039261763;-0,005419667;0,073323655;-0,040390429;0,028598508;0,032618858;0,014635103;0,026074439;-0,003571346;0,013766849;0,048271349;0,035097261
197809;-0,023188338;0,026779003;0,04822008;-0,03227508;-0,03872957;-0,006865252;-0,030349768;-0,034411767;0,021805557;-0,053285094;-0,046139094;0,005177098;-0,05839078;-0,010136141;-0,03732341;-0,017073569;-0,015459817
197810;-0,088714188;-0,102246232;-0,102240561;-0,112723885;-0,09496084;-0,089842212;-0,097969997;-0,143791595;-0,098357865;-0,087381177;-0,084889486;-0,097996054;-0,144924764;-0,077248921;-0,106886439;-0,111813368;-0,084882656
197811;-0,00944382;0,001219472;0,045439721;0,005655942;0,025851065;-0,003697606;0,026954557;-0,034054224;0,00072261;0,024458072;0,027378428;-0,002702699;0,077573293;0,024168318;0,0008028;0,011343356;0,030415279
197812;0,010911643;0,005742835;0,024551586;0,014819138;-0,004202562;-0,011923243;0,031511049;-0,009951188;-0,019032627;-0,003274972;0,062991028;-0,015713343;-0,002012304;-0,021849533;-0,036450525;0,001135192;-0,011527832
197901;0,012978266;0,074186482;0,019276943;0,115121371;0,028363445;0,049466839;-0,004071021;0,093547345;0,108397824;0,035750795;0,023695955;0,036058109;0,031902313;0,05597373;0,041934242;0,033904388;0,039975952
197902;-0,044696955;0,00245601;-0,002517112;-0,023740115;-0,054867619;-0,027054758;-0,052620109;-0,041785448;-0,041082188;-0,070173251;-0,037135894;-0,041709523;-0,100151208;-0,027772037;-0,057870543;-0,046965106;-0,037594537
197903;0,01218419;0,106560092;0,077405489;0,072174052;0,05209988;0,08961382;0,031931458;0,074452604;0,085508621;0,064566424;0,054348745;0,055750182;0,066897209;0,01433435;0,037531485;0,062134659;0,021009353
197904;-0,017826622;-0,041945279;0,037085718;NaN;-0,000362645;-0,043350313;-0,001652321;-0,000917111;-0,041655525;0,003047443;-0,013304725;0,017472899;-0,011073713;-0,044656805;-0,003243122;0,003129674;-0,021388402
197905;-0,030299974;0,001099917;-0,035130706;0,012817202;-0,031341899;-0,037869739;-0,039998115;-0,029572329;-0,050039651;0,003940433;-0,026356694;-0,012766378;-0,023417907;0,00900764;-0,032276345;0,001589403;-0,017542682
197906;0,023998206;0,127644611;0,077105861;0,024903829;0,009892718;0,031371229;0,024145071;0,0309959;-0,005776176;0,030265174;-0,000768848;0,016063982;0,025491354;0,037357719;0,015610834;0,080859028;0,018035003
197907;0,002295644;-0,002602192;0,009695353;0,020960406;-0,0074198;0,032996977;-0,00665819;0,014769374;0,031571707;0,023926438;-0,023784056;-0,008984796;0,044503929;0,011291863;-0,015613317;0,017544118;-0,001702258
197908;0,06120795;0,063206954;0,070240617;0,099043362;0,044103808;0,057967957;0,083289396;0,089934294;0,07418639;0,065851773;0,042204857;0,048131071;0,074416343;0,010840697;0,078175551;0,027839592;0,030423058
197909;-0,025582056;0,078197637;0,053402423;0,001865423;-0,049213622;0,024160477;-0,026310483;-0,012046975;0,02988299;-0,024022246;-0,025601615;0,020851529;-0,033555139;-0,030724745;-0,033449264;-0,014584105;-0,030569956
197910;-0,091140378;-0,125889076;-0,027681437;-0,103231935;-0,071877557;-0,087163868;-0,053085771;-0,104424834;-0,125978098;-0,073329811;-0,084865114;-0,117413476;-0,091074275;-0,060464948;-0,089569444;-0,10349486;-0,072773382
197911;0,032872319;0,10956203;0,070084184;0,077577408;-0,013166323;0,054380725;0,053297916;0,045179331;-0,038889616;0,049203131;0,05951221;-0,046306686;0,079820535;0,064671837;0,002877102;0,05631861;0,028070997
197912;0,013244593;0,143999198;0,0083266;0,047627944;0,031236735;0,045402247;0,000596057;0,015089343;0,083513753;0,047268282;0,001355952;-0,00447239;0,058189597;-0,015021587;-0,013144209;-0,000224143;-0,002881499
198001;0,029461577;0,117309412;0,13052733;NaN;0,033112743;0,023659339;-0,036426158;0,088054793;0,1896234;0,039249743;0,075083669;0,093909131;0,19318716;0,014322137;-0,021594633;0,006530189;0,009854484
198002;-0,073413189;0,033511501;0,1256911;NaN;-0,062650471;-0,029044306;-0,04728996;-0,010316882;0,00974967;-0,008496125;-0,056577398;-0,075548167;-0,073494111;-0,036218254;-0,061597962;-0,054544068;-0,013187812
198003;-0,077264774;-0,212437217;-0,18382165;NaN;-0,041046049;-0,124712248;-0,031198498;-0,134122837;-0,2089599;-0,168734267;-0,126705339;-0,101769158;-0,119989184;-0,08224436;-0,042868723;-0,074150663;-0,073314854
198004;0,065923392;0,005927243;0,054099974;NaN;0,00395948;0,03403615;0,03475402;0,018290444;0,000310578;0,028505186;-0,015866289;-0,045822542;-0,036638679;0,097151521;0,023314926;0,03640926;0,045195556
